Clinic Name,Street Address,City,State,ZIP Code,X,Y,Last Updated,Clinic Website,Phone Number,Volume Ordered,Order Date,Federal Allocation,Open Data Link
AHOLD USA-GIANT PHARMACY 6004,1008 LITITZ PIKE,LITITZ,PA,17543,-76.30487,40.12997,4/13/2021,https://www.giantfoodstores.com/covid-19vaccine,1.844.915.1814,,,No,
AHOLD USA-GIANT PHARMACY 6006,136 KLINE VILLAGE,HARRISBURG,PA,17104,-76.862561,40.258964,4/13/2021,https://www.giantfoodstores.com/covid-19vaccine,,,,Yes,
AHOLD USA-GIANT PHARMACY 6011,2450 CHEMICAL ROAD,PLYMOUTH MEETING,PA,19462,-75.292402,40.101805,4/13/2021,https://www.giantfoodstores.com/covid-19vaccine,1.844.915.1814,,,No,
Allegheny Cnty Hlth Dept-Immunization Cl,425 1st Avenue,Pittsburgh,Pennsylvania,15219,-79.999576,40.436938,4/13/2021,https://www.alleghenycounty.us/Health-Department/Health-Services/Infectious-Disease-Immunization-Program/Immunization-Clinic.aspx,412-578-8062,10500,4/9/2021,No,
Allentown Health Bureau,Alliance Hall,Allentown,Pennsylvania,18102,-75.471465,40.606562,4/13/2021,https://allentownpaclinics.schedulemeappointments.com/,,1600,4/9/2021,No,
Aria Health-Bucks,380 N Oxford Valley Road,Langhorne,Pennsylvania,19047,-74.869959,40.180131,4/13/2021,https://www.jeffersonhealth.org/coronavirus-covid-19.html?utm_source=cv19banner,215-612-5408,1170,4/9/2021,No,
Armstrong County Memorial Hospital,1 NOLTE DR,Kittanning,Pennsylvania,16201,-79.560819,40.807913,4/13/2021,https://www.acmh.org/covid-19%20vaccine,724-543-8222,4340,4/9/2021,No,
Astis South Hills Pharmacy Retail,250 MOUNT LEBANON BLVD,Pittsburgh,Pennsylvania,15234,-80.037742,40.368319,4/13/2021,https://hipaa.jotform.com/210168283690154,412-567-9422,,,No,
Aston Community Center,3270 Concord Road,Aston,Pennsylvania,19014,-75.432084,39.860339,4/13/2021,https://delcopa.gov/vax,484-276-2100,,,No,
Bensalem Pharmacy,2112 Street Road,Bensalem,Pennsylvania,19020,-74.947925,40.099482,4/13/2021,https://www.bensalempharmacy.com/,215-244-4244,200,4/9/2021,No,
Berwick Hospital Center,701 East 16th St.,Berwick,Pennsylvania,18603,-76.231081,41.070156,4/13/2021,https://berwickhospitalcenter.com/covid%E2%80%9119-vaccine/,570-759-5522,1500,4/9/2021,No,
Bethlehem Health Bureau,10 East Church Street,Bethlehem,Pennsylvania,18018,-75.378081,40.618623,4/13/2021,https://www.bethlehem-pa.gov/Health-Bureau/Communicable-Diseases/COVID-19,610-865-7083,2370,4/9/2021,No,
Big Spring Pharmacy,91 S. High Street,Newville,Pennsylvania,17241,-77.397554,40.170586,4/13/2021,https://covid-19schedulinglink.as.me/vaccine,717-323-8230,900,4/9/2021,No,
Black Creek Health Center,75 Pineapple Street,Nuremberg,Pennsylvania,18241,-76.1719502,40.9397102,4/13/2021,,570-704-4235,300,4/9/2021,No,
Boswell Pharmacy Services,131 Schoolhouse Rd.,Jennerstown,Pennsylvania,15547,-79.06238,40.159068,4/13/2021,https://www.boswellpharmacy.com/,888-688-3288,500,4/9/2021,No,
Brockie Pharmatech,209 N. Beaver St.,York,Pennsylvania,17401,-76.731047,39.964747,4/13/2021,,717-854-9028,,,No,
Brockie Pharmatech at Langhorne,275 N PINE ST,Langhorne,Pennsylvania,19047,-74.918377,40.180159,4/13/2021,,215-757-8553,,,Yes,
Brockie Pharmatech at Pleasant Acres,118 Pleasant Acres Rd,York,Pennsylvania,17402,-76.64829,39.988697,4/13/2021,,717-840-7144,,,Yes,
Brockie Pharmatech at Plumcreek,100 Homewood Way,Hanover,Pennsylvania,17331,-76.991828,39.782564,4/13/2021,,717-632-5000,,,No,
Bryce Jordan Center Clinic,127 Bryce Jordan Center,University Park,Pennsylvania,16802,-77.8534652,40.8029215,4/13/2021,https://pema.trackmyvaccine.com/login,1-844-545-3450,,,No,
Bucks County HD Doylestown Clinic,1282 Almshouse Rd,Doylestown,Pennsylvania,18901,-75.132908,40.271504,4/13/2021,https://buckscounty.org/government/healthservices/HealthDepartment/CoronavirusInfo/VaccineInfo,215-345-3318,13890,4/9/2021,No,
Bucks County Vaccination Site,2395 York Road,Jamison,Pennsylvania,18929,-75.086524,40.260408,4/13/2021,https://www.trackmyvaccine.com/register,1-800-383-0371,,,No,
Bucks County Vaccination Site,275 Swamp Road,Newtown,Pennsylvania,18940,-74.942143,40.243522,4/13/2021,https://www.trackmyvaccine.com/register,1-800-383-0371,,,No,
Bucks County Vaccination Site,1 Hillendale Road,Perkasie,Pennsylvania,18944,-75.277606,40.380695,4/13/2021,https://www.trackmyvaccine.com/register,1-800-383-0371,,,No,
Bucks County Vaccination Site,1304 Veteran Highway,Bristol,Pennsylvania,19007,-74.865156,40.113445,4/13/2021,https://www.trackmyvaccine.com/register,1-800-383-0371,,,No,
Bucks County Vaccination Site,707 Neshaminy Mall,Bensalem,Pennsylvania,19020,-74.953678,40.137027,4/13/2021,https://www.trackmyvaccine.com/register,1-800-383-0371,,,No,
Bushy Run Pharmacy Inc,2106 Route 130,Harrison City,Pennsylvania,15636,-79.648627,40.353818,4/13/2021,,724-459-7400,2670,4/9/2021,No,
Butler Memorial Hospital,ONE HOSPITAL WAY,Butler,Pennsylvania,16001,-79.9085142,40.8668263,4/13/2021,https://www.butlerhealthsystem.org,1-877-998-2224,5080,4/9/2021,No,
Care Options Rx,219 N Baltimore Ave,Mount Holly Springs,Pennsylvania,17065,-77.189684,40.11755,4/13/2021,https://covid-19schedulinglink.as.me/vaccine,717-323-8230,,,No,
Caring Comm Hlth Ctr-Wilkes Barre,175 South Wilkes Barre Blvd,Wilkes Barre,Pennsylvania,18702,-75.883558,41.239318,4/13/2021,,(570) 829-2621,200,4/9/2021,No,
Castle Shannon Point of Dispensing,3600 Library Road,Pittsburgh,Pennsylvania,15236,-79.9759911,40.3432807,4/13/2021,https://vax4.alleghenycounty.us/patient/s/,Call 2-1-1,,,No,
Centerville Clinics-Fredericktown,1070 Old National Pike Rd,Fredericktown,Pennsylvania,15333,-79.985471,40.047376,4/13/2021,https://centervilleclinics.com/covid-19-vaccine/,724-632-6801,200,4/9/2021,No,
Centerville Clinics-Uniontown,86 McClellandtown Rd,Uniontown,Pennsylvania,15401,-79.735907,39.902414,4/13/2021,https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/,724-632-6801,200,4/9/2021,No,
Centerville Clinics-Washington,37 HIGHLAND AVE,Washington,Pennsylvania,15301,-80.244869,40.174742,4/13/2021,https://centervilleclinics.com/covid-19-vaccine/,724-632-6801,200,4/9/2021,No,
Centre Volunteers in Medicine,2520 Green Tech Dr.,State College,Pennsylvania,16803,-77.918995,40.813387,4/13/2021,https://cvim.net/covid-vaccination/,814-231-4043,1170,4/9/2021,No,
Chambersburg Hospital (Wellspan Summit),112 N. 7th Street,Chambersburg,Pennsylvania,17201,-77.647373,39.934882,4/13/2021,https://www.wellspan.org/covid19,855-851-3641,1170,4/9/2021,No,
Chester County Health Dept,601 Westtown Road,West Chester,Pennsylvania,19382,-75.585313,39.958618,4/13/2021,chesco.org/4822/COVID19Vaccine,610-344-6225,13040,4/9/2021,No,
Chester County Pediatrics-Exton,690 West Lincoln Highway,Exton,Pennsylvania,19341,-75.663864,40.021481,4/13/2021,,610-873-5437,700,4/9/2021,No,
Chester County Vaccine Clinic,295 Hurley Road,Coatesville,Pennsylvania,19320,-75.794014,40.013702,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,250 Harmony Street,Coatesville,Pennsylvania,19320,-75.820467,39.982755,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,423 Dalmatian Street,Kennett Square,Pennsylvania,19348,-75.704928,39.84514,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,12 E Locust Street,Oxford,Pennsylvania,19363,-75.983168,39.782849,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,855 S New Street,West Chester,Pennsylvania,19382,-75.602227,39.939291,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,60 Westtown Road,West Chester,Pennsylvania,19382,-75.591226,39.964523,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,2276 Kimberton Road,Phoenixville,Pennsylvania,19460,-75.566751,40.131159,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Chester County Vaccine Clinic,Church Street,Phoenixville,Pennsylvania,19460,-75.5252664,40.1247625,4/13/2021,https://chesterpaprod.service-now.com/vam,610-344-6225,,,No,
Childrens Hospital of Philadelphia-Main,34th Street and Civic Center Boulevard,Philadelphia,Pennsylvania,19104,-75.192907,39.948669,4/13/2021,https://www.chop.edu/covid-19-vaccine-program,1-800-722-7112,200,4/9/2021,No,
Colonial Pharmacy,708 Ekastown Rd,Sarver,Pennsylvania,16055,-79.777838,40.712234,4/13/2021,https://www.colonialpharmacy.net/,724-353-1420,200,4/9/2021,No,
Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,-75.649669,40.218983,4/13/2021,https://ch-dc.org/coronavirus-covid-19/,,200,4/9/2021,No,
Community Health Net,1202 State Street,Erie,Pennsylvania,16501,-80.081329,42.123441,4/13/2021,https://www.community-healthnet.com/resources/covid-19-vaccination/,814-454-4530,200,4/9/2021,No,
Community Pharmacy,1256 Pennsylvania Ave,Tyrone,Pennsylvania,16686,-78.236995,40.673364,4/13/2021,https://www.cptyrone.com/,814-684-0230,1000,4/9/2021,No,
Compliance Navig Specs DBA CNS Occ,38 Copperfield Cir,Lititz,Pennsylvania,17543,-76.30794,40.173767,4/13/2021,https://www.cnsoccmed.com/services/covid-19-services/covid-19-vaccine/,800-551-9816,3000,4/9/2021,No,
Conemaugh Miners Medical Center,290 Haida Ave,Hastings,Pennsylvania,16646,-78.705748,40.658976,4/13/2021,https://www.conemaugh.org/health-information/covid-19-information/covid-19-vaccine-information#,814-247-3101,100,4/9/2021,No,
Cornerstone Care-Clairton,559 Miller Avenue,Clairton,PA,150251746,-79.883306,40.293298,4/13/2021,www.cornerstonecare.com,412-226-5454,100,4/9/2021,No,
Cornerstone Care-Prim Care Ctr-Mt Morris,120 Locust Ave Ext,Mount Morris,Pennsylvania,15349,-80.0585604,39.7430749,4/13/2021,https://cornerstonecare.com/,724-324-9001,100,4/9/2021,No,
Cornerstone Care-Rogersville,140 Church Street,Rogersville,Pennsylvania,15359,-80.2905878,39.8678755,4/13/2021,https://cornerstonecare.com/,724-499-5188,200,4/9/2021,No,
County of Delaware,125 Chester Avenue,Yeadon,Pennsylvania,19050,-75.255086,39.923443,4/13/2021,,,13870,4/9/2021,No,
County of Delaware Wellness Center,125 Chester Avenue,Yeadon,Pennsylvania,19050,-75.255086,39.923443,4/13/2021,https://delcopa.gov/vax,484-276-2100,,,No,
Crozer-Chester Medical Center,1 Medical Center Blvd,Upland,Pennsylvania,19013,-75.3731547,39.8476686,4/13/2021,https://www.crozerhealth.org/,610-447-2000,2340,4/9/2021,No,
Cumberland County Community Vaccine Clinic,1180 Walnut Bottom Road,Carlisle,Pennsylvania,17013,-77.196555,40.213918,4/13/2021,https://www.ccpa.net/4863/COVID-19-Vaccine,717-918-9880,,,No,
Custom Care Pharmacy-Milton-LTCF,59 S. Front St.,Milton,Pennsylvania,17847,-76.855592,41.019085,4/13/2021,https://customcarerx.com/,570-246-5700,1000,4/9/2021,No,
CVS Pharmacy # 1608,220 Main Street,Watsontown,Pennsylvania,17777,-76.862145,41.083083,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy # 2880,901 Bristol Pike,Croydon,Pennsylvania,19021,-74.90514,40.094208,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy # 4037,221-223 E. Market Street,Harrisburg,Pennsylvania,17101,-76.881097,40.260268,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy # 960,1520 Northampton Street,Easton,Pennsylvania,18042,-75.232566,40.690025,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #10034,611 Duncan Ave,Pittsburgh,Pennsylvania,15237,-80.022959,40.568442,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #11084,1225 Third Street,Whitehall,Pennsylvania,18052,-75.473113,40.641754,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS PHARMACY #11421,1216 West 6th St,Erie,Pennsylvania,16507,-80.111495,42.119887,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #11422,177 Erie Boulevard,Susquehanna,Pennsylvania,18847,-75.606867,41.945531,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #2479,409 Harleysville Pike,Souderton,Pennsylvania,18964,-75.35438,40.31104,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #3142,119 East Baltimore Avenue,Lansdowne,Pennsylvania,19050,-75.266184,39.939422,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS Pharmacy #5081,101 W City Ave,Bala Cynwyd,Pennsylvania,19004,-75.230959,39.999184,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 10694,141 West Lincoln HWY,Exton,Pennsylvania,19341,-75.630851,40.02771,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 10825,2400 Butler Pike,Plymouth Meeting,Pennsylvania,19462,-75.272702,40.109113,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 10896,629 West Lancaster Ave,Wayne (Part-Chester),Pennsylvania,19087,-75.405615,40.046321,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 16500,857 Baltimore Pike,Springfield,Pennsylvania,19064,-75.335865,39.916046,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 16576,2610 Pleasant Valley Rd,York,Pennsylvania,17402,-76.681623,39.988954,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 16604,1495 Old york Rd,Abington,Pennsylvania,19001,-75.117167,40.125282,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 16995,2251 York Crossing Dr,York,Pennsylvania,17408,-76.777546,39.964368,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 17160,2385 Covered Bridge Dr,Lancaster,Pennsylvania,17602,-76.204105,40.026155,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 17264,120 Matthew Drive,Uniontown,Pennsylvania,15401,-79.756036,39.908258,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/Pharmacy 17723,1589 Fruitville Pike,Lancaster,Pennsylvania,17601,-76.314504,40.064694,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy00147,"1109 West Chester Pike, Pep Boys Bldg.",Havertown,Pennsylvania,19083,-75.314884,39.972386,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy00675,159 N MacDade Blvd,Glenolden,Pennsylvania,19036,-75.286998,39.907317,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy00813,1034 Second Street Pike,Richboro,Pennsylvania,18954,-75.010559,40.2167,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy00958,45 Cheltenham Avenue,Cheltenham,Pennsylvania,19012,-75.117208,40.050424,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01036,2434 Catasauqua Road,Bethlehem,Pennsylvania,18018,-75.427422,40.64302,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01048,"351 W. Schuylkill Rd, Suite SQ2",Pottstown,Pennsylvania,19465,-75.66228,40.23343,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01074,870 E Baltimore Pike,Kennett Square,Pennsylvania,19348,-75.679899,39.862704,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01159,760 Miles Rd.,West Chester,Pennsylvania,19380,-75.627958,39.964154,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01191,"314 Horsham Rd, Unit B",Horsham,Pennsylvania,19044,-75.134411,40.181289,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01193,835 Old York Road,Jenkintown,Pennsylvania,19046,-75.124118,40.106096,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01270,RR 2 Box 2330,Cresco,Pennsylvania,18326,-75.2796221,41.1577034,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01304,1802 Lehigh Street,Allentown,Pennsylvania,18103,-75.48086,40.576675,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01305,3519 Nazareth Rd.,Easton,Pennsylvania,18045,-75.277284,40.707721,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01309,250 South Courtland Street,East Stroudsburg,Pennsylvania,18301,-75.182716,40.995044,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01319,1054 Shoemaker Avenue,Shoemakersville,Pennsylvania,19555,-75.965936,40.509012,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01324,28 North Claude A Lord Blvd,Pottsville,Pennsylvania,17901,-76.193894,40.686591,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01577,1000 North Market Street,Selinsgrove,Pennsylvania,17870,-76.856416,40.810894,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01582,115 Northumberland Street,Danville,Pennsylvania,17821,-76.618842,40.964946,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01583,1 North Main Street,Shickshinny,Pennsylvania,18655,-76.149947,41.153341,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01587,202 4th St.,Honesdale,Pennsylvania,18431,-75.253017,41.568646,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01599,326 Market Street,Berwick,Pennsylvania,18603,-76.244957,41.065119,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01604,505 North Derr Drive,Lewisburg,Pennsylvania,17837,-76.892904,40.96768,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01606,37 Mahoning St.,Milton,Pennsylvania,17847,-76.855972,41.015956,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01607,2678 W. 3 RD St.,Mount Carmel,Pennsylvania,17851,-76.422514,40.795226,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01611,1101 Moosic Street,Scranton,Pennsylvania,18505,-75.64933,41.396648,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01613,518 Southern Avenue,S. Williamsport,Pennsylvania,17702,-77.000404,41.231518,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01616,960 Wyoming Avenue,Exeter,Pennsylvania,18643,-75.810862,41.324545,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01626,30 East Simpson Road,Mechanicsburg,Pennsylvania,17055,-77.00512234,40.21157433,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01637,205 South Market Street,Millersburg,Pennsylvania,17061,-76.961607,40.534513,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01646,765 South West Street,Carlisle,Pennsylvania,17013,-77.194924,40.191845,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01654,1700 N. George St,York,Pennsylvania,17404,-76.735302,39.984282,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01677,120 E. Market Street,Lewiston,Pennsylvania,17044,-77.572451,40.598605,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01680,639 Main Street,Clarion,Pennsylvania,16214,-79.382893,41.213699,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01681,"120 East Walnut Street, Clinton Plaza",Lock Haven,Pennsylvania,17745,-77.445186,41.132645,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01682,644 East Penn Street,Bedford,Pennsylvania,15522,-78.492048,40.017941,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01686,236 Grant Street,Johnsonburg,Pennsylvania,15845,-78.677555,41.486982,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01731,3811 Neshaminy Blvd,Bensalem,Pennsylvania,19020,-74.955675,40.135663,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01908,327 Woodlawn Avenue,Bethlehem,Pennsylvania,18018,-75.368049,40.633348,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01916,1101 N. Atherton Street,State College,Pennsylvania,16803,-77.879129,40.801019,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01918,840 Wayne Avenue,Chambersburg,Pennsylvania,17201,-77.654996,39.916107,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01921,1310 York Road,Gettysburg,Pennsylvania,17325,-77.200176,39.844663,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy01942,"413 RR 1, Rte 611",Tannersville,Pennsylvania,18372,-75.322872,41.0514121,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02002,"7 Fox Run Lane, Route 209",E. Stroudsburg,Pennsylvania,18302,-75.070736,41.063058,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02020,728 Union Boulevard,Allentown,Pennsylvania,18109,-75.446737,40.623974,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02053,"301-D Main Street, Hempfield S/C",Landisville,Pennsylvania,17538,-76.4201579,40.0932942,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02158,32-54 West Lemon St.,Lancaster,Pennsylvania,17603,-76.307977,40.044114,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02321,744 Wertzville Road,Enola,Pennsylvania,17025,-76.947088,40.287565,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02348,3440  Forbes Avenue,Pittsburgh,Pennsylvania,15213,-79.960109,40.439199,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02350,4290 Township Line Road,Schwenksville,Pennsylvania,19473,-75.399863,40.234324,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02370,3865 Derry Street,Harrisburg,Pennsylvania,17111,-76.8206,40.257847,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02458,298 West Butler Pike,Chalfont,Pennsylvania,18914,-75.2083796,40.2852253,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02459,305 West Fourth Street,Bethlehem,Pennsylvania,18015,-75.382847,40.610414,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
CVS/pharmacy02481,312 South Henderson Road,King of Prussia,Pennsylvania,19406,-75.359983,40.090788,4/13/2021,https://www.cvs.com/immunizations/covid-19-vaccine,,,,Yes,
